airfoil_id,polar_id,Re,max_thickness,x_at_max_thickness,max_camber,x_at_max_camber,max_cl,alpha_at_max_cl,cl_alpha_slope,stall_angle,cl_at_stall
ag10-il,xf-ag10-il-200000,200000.0,0.045365,0.1,0.039188,0.234,1.008,8.5,0.1037260315604909,9.25,0.9941
ag11-il,xf-ag11-il-1000000,1000000.0,0.052006,0.114,0.051884,0.272,1.5705,14.0,0.1096644120048252,15.5,1.5047
ag11-il,xf-ag11-il-200000,200000.0,0.052006,0.114,0.051884,0.272,1.257,11.0,0.1078430538462475,11.75,1.2125
ag11-il,xf-ag11-il-50000,50000.0,0.052006,0.114,0.051884,0.272,1.0425,8.75,0.1066616383155434,9.0,0.9952
ag11-il,xf-ag11-il-500000,500000.0,0.052006,0.114,0.051884,0.272,1.4697,13.25,0.1085675092543628,14.25,1.4087
ag12-il,xf-ag12-il-100000,100000.0,0.052729,0.4,0.047413,0.276,1.0529,9.0,0.1030318984664199,9.5,1.0444
ag12-il,xf-ag12-il-200000,200000.0,0.052729,0.4,0.047413,0.276,1.0896,9.0,0.1041710417768377,10.0,1.048
ag12-il,xf-ag12-il-500000,500000.0,0.052729,0.4,0.047413,0.276,1.1927,10.25,0.1006254784240149,11.0,1.1506
ag13-il,xf-ag13-il-100000,100000.0,0.044076,0.459,0.046648,0.281,1.0584,8.75,0.1028212162876784,9.25,1.029
ag13-il,xf-ag13-il-1000000,1000000.0,0.044076,0.459,0.046648,0.281,1.2732,10.75,0.108400595092879,11.75,1.2247
ag13-il,xf-ag13-il-200000,200000.0,0.044076,0.459,0.046648,0.281,1.0971,9.0,0.1040183183500793,10.0,1.05
ag14-il,xf-ag14-il-100000,100000.0,0.028703,0.598,0.045683,0.27,1.064,8.75,0.102697070333157,9.75,1.0336
ag14-il,xf-ag14-il-1000000,1000000.0,0.028703,0.598,0.045683,0.27,1.2704,10.5,0.1079252133255406,11.5,1.2239
ag14-il,xf-ag14-il-200000,200000.0,0.028703,0.598,0.045683,0.27,1.1054,9.0,0.0915132622601279,10.0,1.0519
ag14-il,xf-ag14-il-50000,50000.0,0.028703,0.598,0.045683,0.27,1.0083,8.0,0.1059363214123734,9.25,0.9879
ag14-il,xf-ag14-il-500000,500000.0,0.028703,0.598,0.045683,0.27,1.21,10.0,0.106023088023088,11.25,1.1568
ag16-il,xf-ag16-il-100000,100000.0,0.067527,0.33,0.051522,0.289,1.0775,9.0,0.1047265996827075,10.25,1.0253
ag16-il,xf-ag16-il-1000000,1000000.0,0.067527,0.33,0.051522,0.289,1.3017,10.5,0.1085060347634311,12.0,1.2394
ag16-il,xf-ag16-il-200000,200000.0,0.067527,0.33,0.051522,0.289,1.112,9.25,0.1049990692755156,10.25,1.0676
ag16-il,xf-ag16-il-50000,50000.0,0.067527,0.33,0.051522,0.289,1.0299,8.25,0.1042931993654151,9.75,0.9804
ag16-il,xf-ag16-il-500000,500000.0,0.067527,0.33,0.051522,0.289,1.2111,10.25,0.1071020496526468,11.25,1.1645
ag17-il,xf-ag17-il-100000,100000.0,0.0638389999999999,0.275,0.049911,0.289,1.0805,9.0,0.1042517581379822,10.0,1.0349
ag17-il,xf-ag17-il-1000000,1000000.0,0.0638389999999999,0.275,0.049911,0.289,1.2965,11.0,0.1083340625596978,12.0,1.2404
ag17-il,xf-ag17-il-200000,200000.0,0.0638389999999999,0.275,0.049911,0.289,1.119,9.25,0.1044911030841901,10.25,1.0662
ag17-il,xf-ag17-il-500000,500000.0,0.0638389999999999,0.275,0.049911,0.289,1.229,10.25,0.1072711158117398,11.5,1.1749
ag18-il,xf-ag18-il-100000,100000.0,0.058521,0.234,0.048262,0.276,1.0844,8.75,0.1043503966155473,10.0,1.0335
ag18-il,xf-ag18-il-1000000,1000000.0,0.058521,0.234,0.048262,0.276,1.2969,10.75,0.1081853788021848,11.75,1.2452
ag18-il,xf-ag18-il-200000,200000.0,0.058521,0.234,0.048262,0.276,1.1279,9.0,0.1045877091835751,10.0,1.0857
ag18-il,xf-ag18-il-50000,50000.0,0.058521,0.234,0.048262,0.276,1.0297,8.25,0.1031847911158117,9.5,0.9914
ag18-il,xf-ag18-il-500000,500000.0,0.058521,0.234,0.048262,0.276,1.2109,9.75,0.1064527115567997,11.25,1.1568
ag19-il,xf-ag19-il-1000000,1000000.0,0.053328,0.248,0.047146,0.276,1.2974,10.75,0.1079947945690985,11.75,1.2391
ag19-il,xf-ag19-il-200000,200000.0,0.053328,0.248,0.047146,0.276,1.1473,9.5,0.1056214278159703,10.5,1.0943
ag19-il,xf-ag19-il-500000,500000.0,0.053328,0.248,0.047146,0.276,1.2092,10.0,0.1066252565383578,11.0,1.1517
ag24-il,xf-ag24-il-100000,100000.0,0.084134,0.26,0.062254,0.301,1.1952,10.0,0.1104475938656795,11.25,1.1382
ag24-il,xf-ag24-il-1000000,1000000.0,0.084134,0.26,0.062254,0.301,1.4195,11.75,0.1072304389212056,13.75,1.3535
ag24-il,xf-ag24-il-200000,200000.0,0.084134,0.26,0.062254,0.301,1.2297,10.5,0.1082975145425701,11.5,1.1796
ag24-il,xf-ag24-il-50000,50000.0,0.084134,0.26,0.062254,0.301,1.1407,9.25,0.1125465256478054,10.25,1.096
ag24-il,xf-ag24-il-500000,500000.0,0.084134,0.26,0.062254,0.301,1.302,11.0,0.1060905764145954,12.5,1.242
ag25-il,xf-ag25-il-100000,100000.0,0.075801,0.26,0.05969,0.329,1.1859,9.75,0.1095862506610259,10.75,1.1362
ag25-il,xf-ag25-il-1000000,1000000.0,0.075801,0.26,0.05969,0.329,1.3729,11.25,0.1072606028556319,13.0,1.3146
ag25-il,xf-ag25-il-200000,200000.0,0.075801,0.26,0.05969,0.329,1.228,10.25,0.1077708672256288,11.25,1.176
ag25-il,xf-ag25-il-50000,50000.0,0.075801,0.26,0.05969,0.329,1.1386,8.75,0.1104833844526705,10.0,1.0915
ag25-il,xf-ag25-il-500000,500000.0,0.075801,0.26,0.05969,0.329,1.3152,11.0,0.106449402660469,12.0,1.2658
ag26-il,xf-ag26-il-100000,100000.0,0.068428,0.247,0.057095,0.289,1.193,9.5,0.1091225171866737,10.75,1.1353
ag26-il,xf-ag26-il-1000000,1000000.0,0.068428,0.247,0.057095,0.289,1.3875,11.25,0.1077920676890534,12.75,1.3314
ag26-il,xf-ag26-il-200000,200000.0,0.068428,0.247,0.057095,0.289,1.2356,10.25,0.1079237863564251,11.25,1.1854
ag26-il,xf-ag26-il-50000,50000.0,0.068428,0.247,0.057095,0.289,1.1306,8.75,0.1088358641520023,9.75,1.0867
ag26-il,xf-ag26-il-500000,500000.0,0.068428,0.247,0.057095,0.289,1.3351,11.0,0.1064869789904335,12.25,1.2811
ag27-il,xf-ag27-il-100000,100000.0,0.017419,0.008,0.054708,0.318,1.1831,9.25,0.1086727022739291,10.5,1.128
ag27-il,xf-ag27-il-1000000,1000000.0,0.017419,0.008,0.054708,0.318,1.4272,11.5,0.1077816816499206,13.0,1.3704
ag27-il,xf-ag27-il-50000,50000.0,0.017419,0.008,0.054708,0.318,1.1221,8.75,0.108179040500637,9.75,1.0706
ag27-il,xf-ag27-il-500000,500000.0,0.017419,0.008,0.054708,0.318,1.3413,11.0,0.1081852353252248,12.25,1.2803
ag35-il,xf-ag35-il-100000,100000.0,0.062457,0.604,0.087271,0.279,1.235,9.25,0.1029518773135906,10.5,1.1805
ag35-il,xf-ag35-il-1000000,1000000.0,0.062457,0.604,0.087271,0.279,1.4513,12.0,0.1060108090957165,14.25,1.3806
ag35-il,xf-ag35-il-200000,200000.0,0.062457,0.604,0.087271,0.279,1.2733,10.25,0.0992203490216816,11.5,1.2212
ag35-il,xf-ag35-il-50000,50000.0,0.062457,0.604,0.087271,0.279,1.1678,8.25,0.1046236065573771,9.5,1.1283
ag35-il,xf-ag35-il-500000,500000.0,0.062457,0.604,0.087271,0.279,1.3465,11.5,0.102066821787414,13.25,1.2875
ag36-il,xf-ag36-il-100000,100000.0,0.019523,0.895,0.081778,0.266,1.1759,9.0,0.1015568270756213,9.75,1.1362
ag36-il,xf-ag36-il-1000000,1000000.0,0.019523,0.895,0.081778,0.266,1.4014,11.25,0.1050490745343031,13.5,1.3444
ag36-il,xf-ag36-il-200000,200000.0,0.019523,0.895,0.081778,0.266,1.2218,9.5,0.1010130089899524,10.75,1.1632
ag36-il,xf-ag36-il-50000,50000.0,0.019523,0.895,0.081778,0.266,1.1319,8.25,0.1040107696582384,9.5,1.0773
ag36-il,xf-ag36-il-500000,500000.0,0.019523,0.895,0.081778,0.266,1.299,10.25,0.101478900052882,12.0,1.2428
ag37-il,xf-ag37-il-100000,100000.0,0.033212,0.022,0.077488,0.265,1.175,8.75,0.1033735589635114,9.75,1.1348
ag37-il,xf-ag37-il-1000000,1000000.0,0.033212,0.022,0.077488,0.265,1.5161,12.25,0.1064112744579587,14.25,1.4493
ag37-il,xf-ag37-il-200000,200000.0,0.033212,0.022,0.077488,0.265,1.2355,9.75,0.1045169539925965,10.75,1.1826
ag37-il,xf-ag37-il-50000,50000.0,0.033212,0.022,0.077488,0.265,1.1106,8.0,0.1025001611558766,9.0,1.0586
ag37-il,xf-ag37-il-500000,500000.0,0.033212,0.022,0.077488,0.265,1.3575,10.75,0.1047983712321523,13.0,1.2959
ag38-il,xf-ag38-il-100000,100000.0,0.068615,0.367,0.070467,0.277,1.1258,8.75,0.0987040844679077,9.0,1.1254
ag38-il,xf-ag38-il-1000000,1000000.0,0.068615,0.367,0.070467,0.277,1.5024,13.25,0.1069187886293613,14.5,1.4425
ag38-il,xf-ag38-il-200000,200000.0,0.068615,0.367,0.070467,0.277,1.198,9.25,0.1054605817028028,10.25,1.1474
ag38-il,xf-ag38-il-50000,50000.0,0.068615,0.367,0.070467,0.277,1.0593,7.75,0.1041267587437325,8.75,1.0315
ag38-il,xf-ag38-il-500000,500000.0,0.068615,0.367,0.070467,0.277,1.341,11.0,0.1068865811141606,12.0,1.2865
ag44ct02r-il,xf-ag44ct02r-il-100000,100000.0,0.072602,0.274,0.055332,0.261,1.1434,10.25,0.1074872554204124,11.0,1.0888
ag44ct02r-il,xf-ag44ct02r-il-1000000,1000000.0,0.072602,0.274,0.055332,0.261,1.4174,12.75,0.1087723759807656,14.5,1.3654
ag44ct02r-il,xf-ag44ct02r-il-200000,200000.0,0.072602,0.274,0.055332,0.261,1.1865,10.75,0.1071634902168165,11.75,1.1305
ag44ct02r-il,xf-ag44ct02r-il-50000,50000.0,0.072602,0.274,0.055332,0.261,1.0684,9.25,0.1069462628507919,10.0,1.0237
ag44ct02r-il,xf-ag44ct02r-il-500000,500000.0,0.072602,0.274,0.055332,0.261,1.2926,11.5,0.1080661947755714,12.5,1.2421
ag455ct02r-il,xf-ag455ct02r-il-100000,100000.0,0.0563339999999999,0.415,0.050206,0.264,1.0984,9.75,0.1059749341732553,10.25,1.0491
ag455ct02r-il,xf-ag455ct02r-il-1000000,1000000.0,0.0563339999999999,0.415,0.050206,0.264,1.4243,12.75,0.1093058944225503,14.25,1.3545
ag455ct02r-il,xf-ag455ct02r-il-200000,200000.0,0.0563339999999999,0.415,0.050206,0.264,1.1522,10.25,0.1069444103648863,11.0,1.1127
ag455ct02r-il,xf-ag455ct02r-il-50000,50000.0,0.0563339999999999,0.415,0.050206,0.264,1.0079,8.5,0.1037868852459016,9.5,0.9723
ag455ct02r-il,xf-ag455ct02r-il-500000,500000.0,0.0563339999999999,0.415,0.050206,0.264,1.267,11.0,0.1080940539542896,12.5,1.2045
ag45c03-il,xf-ag45c03-il-100000,100000.0,0.067,0.317,0.058939,0.29,1.1479,11.0,0.1092577049180328,11.75,1.1137
ag45c03-il,xf-ag45c03-il-1000000,1000000.0,0.067,0.317,0.058939,0.29,1.4504,13.75,0.1102438554658841,15.25,1.3835
ag45c03-il,xf-ag45c03-il-200000,200000.0,0.067,0.317,0.058939,0.29,1.1974,11.5,0.1087369404227564,12.5,1.1496
ag45c03-il,xf-ag45c03-il-50000,50000.0,0.067,0.317,0.058939,0.29,1.058,9.75,0.1103418457268621,10.5,1.0224
ag45c03-il,xf-ag45c03-il-500000,500000.0,0.067,0.317,0.058939,0.29,1.2977,12.0,0.1094416440776735,14.0,1.2353
ag45ct02r-il,xf-ag45ct02r-il-100000,100000.0,0.029982,0.697,0.052567,0.263,1.111,10.0,0.1065711475409836,10.5,1.0742
ag45ct02r-il,xf-ag45ct02r-il-1000000,1000000.0,0.029982,0.697,0.052567,0.263,1.4006,12.75,0.1089290534108937,14.25,1.351
ag45ct02r-il,xf-ag45ct02r-il-200000,200000.0,0.029982,0.697,0.052567,0.263,1.1573,10.25,0.1066660379093939,11.25,1.113
ag45ct02r-il,xf-ag45ct02r-il-50000,50000.0,0.029982,0.697,0.052567,0.263,1.0354,9.0,0.1055784241142253,9.75,0.9971
ag45ct02r-il,xf-ag45ct02r-il-500000,500000.0,0.029982,0.697,0.052567,0.263,1.2679,11.25,0.1078440613432047,12.25,1.2144
ag46c03-il,xf-ag46c03-il-100000,100000.0,0.059795,0.275,0.051065,0.344,1.0468,10.25,0.1082691697514542,10.5,1.0424
ag46c03-il,xf-ag46c03-il-1000000,1000000.0,0.059795,0.275,0.051065,0.344,1.3832,13.25,0.1092728637634532,14.5,1.3236
ag46c03-il,xf-ag46c03-il-200000,200000.0,0.059795,0.275,0.051065,0.344,1.1005,10.5,0.1066896456901111,11.5,1.0493
ag46c03-il,xf-ag46c03-il-500000,500000.0,0.059795,0.275,0.051065,0.344,1.212,12.0,0.1078186592739734,13.0,1.1593
ag46ct02r-il,xf-ag46ct02r-il-100000,100000.0,0.054156,0.4,0.046788,0.262,1.0306,9.0,0.104242115282919,10.0,0.9833
ag46ct02r-il,xf-ag46ct02r-il-1000000,1000000.0,0.054156,0.4,0.046788,0.262,1.3794,12.75,0.1088381691152916,13.75,1.3317
ag46ct02r-il,xf-ag46ct02r-il-200000,200000.0,0.054156,0.4,0.046788,0.262,1.1019,9.75,0.106043320994183,10.5,1.0639
ag46ct02r-il,xf-ag46ct02r-il-500000,500000.0,0.054156,0.4,0.046788,0.262,1.2259,10.75,0.1076395517380941,11.75,1.1725
ag47c03-il,xf-ag47c03-il-100000,100000.0,0.039165,0.485,0.042897,0.307,0.9102,8.75,0.103635560643763,9.0,0.8944
ag47c03-il,xf-ag47c03-il-50000,50000.0,0.039165,0.485,0.042897,0.307,0.8744,8.5,0.1069679070806116,8.5,0.8744
ag47c03-il,xf-ag47c03-il-500000,500000.0,0.039165,0.485,0.042897,0.307,1.1198,11.25,0.107820835536753,11.5,1.1142
ag47ct02r-il,xf-ag47ct02r-il-100000,100000.0,0.033354,0.558,0.037525,0.266,0.9187,8.0,0.1065043578643578,8.0,0.9187
ag47ct02r-il,xf-ag47ct02r-il-200000,200000.0,0.033354,0.558,0.037525,0.266,0.9629,8.25,0.1031655406195207,9.25,0.9204
ag47ct02r-il,xf-ag47ct02r-il-50000,50000.0,0.033354,0.558,0.037525,0.266,0.873,7.5,0.1078804552283913,7.5,0.873
ah21-7-il,xf-ah21-7-il-100000,100000.0,0.0890966,0.302,0.0657269,0.397,1.1189,9.5,0.1215131887890005,10.5,1.0767
ah21-7-il,xf-ah21-7-il-1000000,1000000.0,0.0890966,0.302,0.0657269,0.397,1.4858,15.0,0.0980202432575357,17.25,1.4163
ah21-7-il,xf-ah21-7-il-200000,200000.0,0.0890966,0.302,0.0657269,0.397,1.1902,10.5,0.1195167424643046,12.0,1.1435
ah21-7-il,xf-ah21-7-il-50000,50000.0,0.0890966,0.302,0.0657269,0.397,1.0602,8.75,0.1154279640401903,10.0,1.0091
ah21-7-il,xf-ah21-7-il-500000,500000.0,0.0890966,0.302,0.0657269,0.397,1.3246,12.5,0.1041465468006345,14.75,1.2729
ah21-9-il,xf-ah21-9-il-100000,100000.0,0.0694748,0.302,0.0512518,0.397,0.9498,7.75,0.1114884637251267,9.25,0.9098
ah21-9-il,xf-ah21-9-il-1000000,1000000.0,0.0694748,0.302,0.0512518,0.397,1.292,11.25,0.1024778635642517,12.0,1.2466
ah21-9-il,xf-ah21-9-il-200000,200000.0,0.0694748,0.302,0.0512518,0.397,0.9891,8.25,0.1214124337716791,8.25,0.9891
ah21-9-il,xf-ah21-9-il-500000,500000.0,0.0694748,0.302,0.0512518,0.397,1.0994,9.0,0.1057682284505552,10.0,1.0641
ah63k127-il,xf-ah63k127-il-100000,100000.0,0.12707,0.402,0.03765,0.435,1.2501,12.5,0.0966972485914103,13.5,1.1949
ah63k127-il,xf-ah63k127-il-1000000,1000000.0,0.12707,0.402,0.03765,0.435,1.3316,15.0,0.0920797250132205,17.5,1.2671
ah63k127-il,xf-ah63k127-il-200000,200000.0,0.12707,0.402,0.03765,0.435,1.2359,13.25,0.0926561184558434,14.5,1.1798
ah63k127-il,xf-ah63k127-il-50000,50000.0,0.12707,0.402,0.03765,0.435,1.2755,11.75,0.0901092490300519,12.75,1.2157
ah63k127-il,xf-ah63k127-il-500000,500000.0,0.12707,0.402,0.03765,0.435,1.2639,14.25,0.0913153172512965,15.75,1.2044
ah6407-il,xf-ah6407-il-100000,100000.0,0.0684999999999999,0.2,16.0,16.0,1.5376,11.25,0.1286466206688697,12.5,1.4671
ah6407-il,xf-ah6407-il-1000000,1000000.0,0.0684999999999999,0.2,16.0,16.0,1.6503,11.0,0.1043573788377147,15.25,1.5771
ah6407-il,xf-ah6407-il-200000,200000.0,0.0684999999999999,0.2,16.0,16.0,1.5236,11.5,0.1119064061613424,13.0,1.4551
ah6407-il,xf-ah6407-il-50000,50000.0,0.0684999999999999,0.2,16.0,16.0,1.485,10.75,0.1330878277994678,11.75,1.4288
ah6407-il,xf-ah6407-il-500000,500000.0,0.0684999999999999,0.2,16.0,16.0,1.5611,12.25,0.1030419212228058,14.25,1.4976
ah7476-il,xf-ah7476-il-100000,100000.0,0.059,0.2,16.0,16.0,1.618,10.75,0.140905778907203,11.75,1.5578
ah7476-il,xf-ah7476-il-1000000,1000000.0,0.059,0.2,16.0,16.0,1.75,12.0,0.1023979955012973,15.25,1.6719
ah7476-il,xf-ah7476-il-200000,200000.0,0.059,0.2,16.0,16.0,1.6263,11.0,0.1226358596313702,12.75,1.563
ah7476-il,xf-ah7476-il-50000,50000.0,0.059,0.2,16.0,16.0,1.5981,10.25,0.1451001594391747,11.25,1.5377
ah7476-il,xf-ah7476-il-500000,500000.0,0.059,0.2,16.0,16.0,1.6596,12.0,0.1053482247059852,14.5,1.5888
ah79100a-il,xf-ah79100a-il-100000,100000.0,0.1,0.279,49.0,49.0,1.3759,11.0,0.1187591327340031,12.25,1.3145
ah79100a-il,xf-ah79100a-il-1000000,1000000.0,0.1,0.279,49.0,49.0,1.5114,13.75,0.1019898628897642,17.25,1.4383
ah79100a-il,xf-ah79100a-il-200000,200000.0,0.1,0.279,49.0,49.0,1.3944,11.75,0.1026954204124802,13.25,1.3402
ah79100a-il,xf-ah79100a-il-50000,50000.0,0.1,0.279,49.0,49.0,1.3341,10.5,0.1239921734531993,11.5,1.274
ah79100a-il,xf-ah79100a-il-500000,500000.0,0.1,0.279,49.0,49.0,1.4359,13.0,0.0995485140137493,15.25,1.3669
ah79100b-il,xf-ah79100b-il-100000,100000.0,0.10037,0.309,49.0,49.0,1.6604,9.0,0.1305067898306647,10.25,1.5888
ah79100b-il,xf-ah79100b-il-200000,200000.0,0.10037,0.309,49.0,49.0,1.6419,8.5,0.0991315266055195,11.75,1.5615
ah79100b-il,xf-ah79100b-il-50000,50000.0,0.10037,0.309,49.0,49.0,1.6351,13.0,0.1242650254522023,14.0,1.5726
ah79100c-il,xf-ah79100c-il-100000,100000.0,0.09943,0.309,49.0,49.0,1.5809,9.0,0.1356254464079986,11.25,1.521
ah79100c-il,xf-ah79100c-il-200000,200000.0,0.09943,0.309,49.0,49.0,1.602,15.75,0.1109427503734214,17.25,1.5389
ah79100c-il,xf-ah79100c-il-50000,50000.0,0.09943,0.309,49.0,49.0,1.5646,11.0,0.1233226684509869,12.0,1.5027
ah79k132-il,xf-ah79k132-il-100000,100000.0,0.132,0.402,0.0368,0.402,1.181,14.0,0.100179242917074,15.25,1.125
ah79k132-il,xf-ah79k132-il-1000000,1000000.0,0.132,0.402,0.0368,0.402,1.2622,15.0,0.0912013394211838,18.0,1.2044
ah79k132-il,xf-ah79k132-il-200000,200000.0,0.132,0.402,0.0368,0.402,1.1816,14.5,0.0967194077207826,15.75,1.133
ah79k132-il,xf-ah79k132-il-50000,50000.0,0.132,0.402,0.0368,0.402,1.1684,13.5,0.087559075948199,14.5,1.1271
ah79k132-il,xf-ah79k132-il-500000,500000.0,0.132,0.402,0.0368,0.402,1.2043,15.75,0.0943731993654151,17.5,1.1488
ah79k135-il,xf-ah79k135-il-100000,100000.0,0.13487,0.402,0.030525,0.402,1.1674,13.25,0.0962621543442041,14.75,1.1111
ah79k135-il,xf-ah79k135-il-1000000,1000000.0,0.13487,0.402,0.030525,0.402,1.2286,15.5,0.089745933368588,17.25,1.1864
ah79k135-il,xf-ah79k135-il-200000,200000.0,0.13487,0.402,0.030525,0.402,1.176,13.75,0.0947824008461132,15.0,1.132
ah79k135-il,xf-ah79k135-il-50000,50000.0,0.13487,0.402,0.030525,0.402,1.1607,13.0,0.0891673802517523,14.0,1.1173
ah79k135-il,xf-ah79k135-il-500000,500000.0,0.13487,0.402,0.030525,0.402,1.2081,14.75,0.0906040401903754,15.25,1.1758
ah79k143-il,xf-ah79k143-il-100000,100000.0,0.14274,0.402,0.02868,0.402,1.1507,13.0,0.0909702798663723,14.25,1.0981
ah79k143-il,xf-ah79k143-il-200000,200000.0,0.14274,0.402,0.02868,0.402,1.1255,14.0,0.0956057535695399,15.25,1.0695
ah79k143-il,xf-ah79k143-il-50000,50000.0,0.14274,0.402,0.02868,0.402,1.097,12.5,0.0765589635113696,13.5,1.058
ah79k143-il,xf-ah79k143-il-500000,500000.0,0.14274,0.402,0.02868,0.402,1.1762,15.5,0.0850765309360127,16.75,1.1266
ah80129-il,xf-ah80129-il-100000,100000.0,0.12865,0.402,0.0406399999999999,0.435,1.2059,11.75,0.0873843820004784,12.75,1.1633
ah80129-il,xf-ah80129-il-200000,200000.0,0.12865,0.402,0.0406399999999999,0.435,1.1175,7.0,0.0845923867741039,7.5,1.0739
ah80129-il,xf-ah80129-il-50000,50000.0,0.12865,0.402,0.0406399999999999,0.435,1.169,12.25,0.0862437426895422,13.25,1.1199
ah80129-il,xf-ah80129-il-500000,500000.0,0.12865,0.402,0.0406399999999999,0.435,1.213,12.0,0.0903013220518244,13.5,1.1634
