airfoil_id,polar_id,Re,max_thickness,x_at_max_thickness,max_camber,x_at_max_camber,max_cl,alpha_at_max_cl,cl_alpha_slope
ag11-il,xf-ag11-il-500000,500000.0,0.052006,0.114,0.051884,0.272,1.4697,13.25,0.1085675092543628
ag11-il,xf-ag11-il-500000-n5,500000.0,0.052006,0.114,0.051884,0.272,1.5062,13.5,0.1073671878153528
ag12-il,xf-ag12-il-100000,100000.0,0.052729,0.4,0.047413,0.276,1.0529,9.0,0.1030318984664199
ag12-il,xf-ag12-il-100000-n5,100000.0,0.052729,0.4,0.047413,0.276,1.1057,9.5,0.10527122687272854
ag12-il,xf-ag12-il-1000000,1000000.0,0.052729,0.4,0.047413,0.276,1.2782,10.5,0.10848913061375161
ag12-il,xf-ag12-il-1000000-n5,1000000.0,0.052729,0.4,0.047413,0.276,1.4207,12.25,0.10853639344262295
ag12-il,xf-ag12-il-200000,200000.0,0.052729,0.4,0.047413,0.276,1.0896,9.0,0.1041710417768377
ag12-il,xf-ag12-il-200000-n5,200000.0,0.052729,0.4,0.047413,0.276,1.1618,10.0,0.10585664727657326
ag12-il,xf-ag12-il-50000,50000.0,0.052729,0.4,0.047413,0.276,1.0077,8.25,0.1090173191599689
ag12-il,xf-ag12-il-50000-n5,50000.0,0.052729,0.4,0.047413,0.276,1.0419,9.0,0.10255143310417769
ag12-il,xf-ag12-il-500000,500000.0,0.052729,0.4,0.047413,0.276,1.1927,10.25,0.10062547842401494
ag12-il,xf-ag12-il-500000-n5,500000.0,0.052729,0.4,0.047413,0.276,1.2974,11.5,0.10764774775410538
ag13-il,xf-ag13-il-100000,100000.0,0.044076,0.459,0.046648,0.281,1.0584,8.75,0.10282121628767849
ag13-il,xf-ag13-il-100000-n5,100000.0,0.044076,0.459,0.046648,0.281,1.1116,9.5,0.10432359619952496
ag13-il,xf-ag13-il-1000000,1000000.0,0.044076,0.459,0.046648,0.281,1.2732,10.75,0.10840059509287908
ag13-il,xf-ag13-il-1000000-n5,1000000.0,0.044076,0.459,0.046648,0.281,1.4294,12.5,0.10833316090381953
ag13-il,xf-ag13-il-200000,200000.0,0.044076,0.459,0.046648,0.281,1.0971,9.0,0.10401831835007933
ag13-il,xf-ag13-il-200000-n5,200000.0,0.044076,0.459,0.046648,0.281,1.168,10.0,0.10576525721543616
ag13-il,xf-ag13-il-50000,50000.0,0.044076,0.459,0.046648,0.281,1.0017,8.0,0.10753094835276387
ag13-il,xf-ag13-il-50000-n5,50000.0,0.044076,0.459,0.046648,0.281,1.0485,9.0,0.10234897937599154
ag13-il,xf-ag13-il-500000,500000.0,0.044076,0.459,0.046648,0.281,1.2109,10.25,0.10671240210403274
ag13-il,xf-ag13-il-500000-n5,500000.0,0.044076,0.459,0.046648,0.281,1.3052,11.25,0.10754903460592986
ag14-il,xf-ag14-il-100000,100000.0,0.028703,0.598,0.045683,0.27,1.064,8.75,0.10269707033315707
ag14-il,xf-ag14-il-100000-n5,100000.0,0.028703,0.598,0.045683,0.27,1.118,9.5,0.1049344554003143
ag14-il,xf-ag14-il-1000000,1000000.0,0.028703,0.598,0.045683,0.27,1.2704,10.5,0.10792521332554063
ag14-il,xf-ag14-il-1000000-n5,1000000.0,0.028703,0.598,0.045683,0.27,1.4253,12.25,0.10817289509865856
ag14-il,xf-ag14-il-200000,200000.0,0.028703,0.598,0.045683,0.27,1.1054,9.0,0.0915132622601279
ag14-il,xf-ag14-il-200000-n5,200000.0,0.028703,0.598,0.045683,0.27,1.1746,10.0,0.10586826017979908
ag14-il,xf-ag14-il-50000,50000.0,0.028703,0.598,0.045683,0.27,1.0083,8.0,0.10593632141237343
ag14-il,xf-ag14-il-50000-n5,50000.0,0.028703,0.598,0.045683,0.27,1.0556,9.0,0.10234667371760978
ag14-il,xf-ag14-il-500000,500000.0,0.028703,0.598,0.045683,0.27,1.21,10.0,0.106023088023088
ag14-il,xf-ag14-il-500000-n5,500000.0,0.028703,0.598,0.045683,0.27,1.3086,11.25,0.10746913535192942
ag16-il,xf-ag16-il-100000,100000.0,0.067527,0.33,0.051522,0.289,1.0775,9.0,0.10472659968270756
ag16-il,xf-ag16-il-100000-n5,100000.0,0.067527,0.33,0.051522,0.289,1.1257,9.75,0.1052123657334543
ag16-il,xf-ag16-il-1000000,1000000.0,0.067527,0.33,0.051522,0.289,1.3017,10.5,0.10850603476343111
ag16-il,xf-ag16-il-1000000-n5,1000000.0,0.067527,0.33,0.051522,0.289,1.4417,12.25,0.10833907469381686
ag16-il,xf-ag16-il-200000,200000.0,0.067527,0.33,0.051522,0.289,1.112,9.25,0.10499906927551564
ag16-il,xf-ag16-il-200000-n5,200000.0,0.067527,0.33,0.051522,0.289,1.1802,10.25,0.1059782337387626
ag16-il,xf-ag16-il-50000,50000.0,0.067527,0.33,0.051522,0.289,1.0299,8.25,0.10429319936541515
ag16-il,xf-ag16-il-50000-n5,50000.0,0.067527,0.33,0.051522,0.289,1.0626,9.25,0.10398500264410365
ag16-il,xf-ag16-il-500000,500000.0,0.067527,0.33,0.051522,0.289,1.2111,10.25,0.10710204965264689
ag16-il,xf-ag16-il-500000-n5,500000.0,0.067527,0.33,0.051522,0.289,1.3139,11.5,0.10747873066551294
ag17-il,xf-ag17-il-100000,100000.0,0.06383899999999999,0.275,0.049911,0.289,1.0805,9.0,0.10425175813798224
ag17-il,xf-ag17-il-100000-n5,100000.0,0.06383899999999999,0.275,0.049911,0.289,1.1289,9.5,0.10490151242728715
ag17-il,xf-ag17-il-1000000,1000000.0,0.06383899999999999,0.275,0.049911,0.289,1.2965,11.0,0.1083340625596978
ag17-il,xf-ag17-il-1000000-n5,1000000.0,0.06383899999999999,0.275,0.049911,0.289,1.4464,12.5,0.10824822845055532
ag17-il,xf-ag17-il-200000,200000.0,0.06383899999999999,0.275,0.049911,0.289,1.119,9.25,0.10449110308419012
ag17-il,xf-ag17-il-200000-n5,200000.0,0.06383899999999999,0.275,0.049911,0.289,1.1865,10.25,0.10581691481132173
ag17-il,xf-ag17-il-50000,50000.0,0.06383899999999999,0.275,0.049911,0.289,1.0363,8.25,0.10681853886616015
ag17-il,xf-ag17-il-50000-n5,50000.0,0.06383899999999999,0.275,0.049911,0.289,1.0685,9.25,0.10350739291380225
ag17-il,xf-ag17-il-500000,500000.0,0.06383899999999999,0.275,0.049911,0.289,1.229,10.25,0.10727111581173981
ag17-il,xf-ag17-il-500000-n5,500000.0,0.06383899999999999,0.275,0.049911,0.289,1.3259,11.5,0.10742386945392489
ag18-il,xf-ag18-il-100000,100000.0,0.058521000000000004,0.234,0.048262,0.276,1.0844,8.75,0.10435039661554732
ag18-il,xf-ag18-il-100000-n5,100000.0,0.058521000000000004,0.234,0.048262,0.276,1.1364,9.75,0.10479466948704391
ag18-il,xf-ag18-il-1000000,1000000.0,0.058521000000000004,0.234,0.048262,0.276,1.2969,10.75,0.10818537880218485
ag18-il,xf-ag18-il-1000000-n5,1000000.0,0.058521000000000004,0.234,0.048262,0.276,1.4437,12.5,0.10817525775418367
ag18-il,xf-ag18-il-200000,200000.0,0.058521000000000004,0.234,0.048262,0.276,1.1279,9.0,0.10458770918357511
ag18-il,xf-ag18-il-200000-n5,200000.0,0.058521000000000004,0.234,0.048262,0.276,1.2122,10.5,0.10586707562136437
ag18-il,xf-ag18-il-50000,50000.0,0.058521000000000004,0.234,0.048262,0.276,1.0297,8.25,0.10318479111581173
ag18-il,xf-ag18-il-50000-n5,50000.0,0.058521000000000004,0.234,0.048262,0.276,1.0755,9.0,0.10314176626123743
ag18-il,xf-ag18-il-500000,500000.0,0.058521000000000004,0.234,0.048262,0.276,1.2109,9.75,0.10645271155679971
ag18-il,xf-ag18-il-500000-n5,500000.0,0.058521000000000004,0.234,0.048262,0.276,1.3317,11.5,0.10734973254454641
ag19-il,xf-ag19-il-100000,100000.0,0.053328,0.248,0.047146,0.276,1.0881,8.75,0.10445704918032789
ag19-il,xf-ag19-il-100000-n5,100000.0,0.053328,0.248,0.047146,0.276,1.1423,9.5,0.10521930006577196
ag19-il,xf-ag19-il-1000000,1000000.0,0.053328,0.248,0.047146,0.276,1.2974,10.75,0.10799479456909855
ag19-il,xf-ag19-il-1000000-n5,1000000.0,0.053328,0.248,0.047146,0.276,1.4412,12.25,0.10810430554023345
ag19-il,xf-ag19-il-200000,200000.0,0.053328,0.248,0.047146,0.276,1.1473,9.5,0.10562142781597038
ag19-il,xf-ag19-il-200000-n5,200000.0,0.053328,0.248,0.047146,0.276,1.2229,10.25,0.10598385204271189
ag19-il,xf-ag19-il-50000,50000.0,0.053328,0.248,0.047146,0.276,1.0325,8.25,0.11036882094189303
ag19-il,xf-ag19-il-50000-n5,50000.0,0.053328,0.248,0.047146,0.276,1.0805,9.0,0.10298229508196725
ag19-il,xf-ag19-il-500000,500000.0,0.053328,0.248,0.047146,0.276,1.2092,10.0,0.10662525653835783
ag19-il,xf-ag19-il-500000-n5,500000.0,0.053328,0.248,0.047146,0.276,1.3362,11.25,0.10734733155507765
ag24-il,xf-ag24-il-100000,100000.0,0.084134,0.26,0.062254,0.301,1.1952,10.0,0.11044759386567955
ag24-il,xf-ag24-il-100000-n5,100000.0,0.084134,0.26,0.062254,0.301,1.1969,10.5,0.1067640190375463
ag24-il,xf-ag24-il-1000000,1000000.0,0.084134,0.26,0.062254,0.301,1.4195,11.75,0.10723043892120569
ag24-il,xf-ag24-il-1000000-n5,1000000.0,0.084134,0.26,0.062254,0.301,1.5228,13.25,0.1082242834479112
ag24-il,xf-ag24-il-200000,200000.0,0.084134,0.26,0.062254,0.301,1.2297,10.5,0.1082975145425701
ag24-il,xf-ag24-il-200000-n5,200000.0,0.084134,0.26,0.062254,0.301,1.2613,11.0,0.10549841056254496
ag24-il,xf-ag24-il-50000,50000.0,0.084134,0.26,0.062254,0.301,1.1407,9.25,0.11254652564780541
ag24-il,xf-ag24-il-50000-n5,50000.0,0.084134,0.26,0.062254,0.301,1.1398,10.25,0.10722790817384341
ag24-il,xf-ag24-il-500000,500000.0,0.084134,0.26,0.062254,0.301,1.302,11.0,0.10609057641459545
ag24-il,xf-ag24-il-500000-n5,500000.0,0.084134,0.26,0.062254,0.301,1.3953,12.0,0.10611237538648759
ag25-il,xf-ag25-il-100000,100000.0,0.07580100000000001,0.26,0.05969,0.329,1.1859,9.75,0.10958625066102595
ag25-il,xf-ag25-il-100000-n5,100000.0,0.07580100000000001,0.26,0.05969,0.329,1.2113,10.5,0.10668636700158649
ag25-il,xf-ag25-il-1000000,1000000.0,0.07580100000000001,0.26,0.05969,0.329,1.3729,11.25,0.10726060285563198
ag25-il,xf-ag25-il-1000000-n5,1000000.0,0.07580100000000001,0.26,0.05969,0.329,1.497,12.75,0.1078849102654092
ag25-il,xf-ag25-il-200000,200000.0,0.07580100000000001,0.26,0.05969,0.329,1.228,10.25,0.10777086722562887
ag25-il,xf-ag25-il-200000-n5,200000.0,0.07580100000000001,0.26,0.05969,0.329,1.2709,11.0,0.1059071486518816
ag25-il,xf-ag25-il-50000,50000.0,0.07580100000000001,0.26,0.05969,0.329,1.1386,8.75,0.11048338445267054
ag25-il,xf-ag25-il-50000-n5,50000.0,0.07580100000000001,0.26,0.05969,0.329,1.1513,10.0,0.10692841882601796
ag25-il,xf-ag25-il-500000,500000.0,0.07580100000000001,0.26,0.05969,0.329,1.3152,11.0,0.10644940266046905
ag25-il,xf-ag25-il-500000-n5,500000.0,0.07580100000000001,0.26,0.05969,0.329,1.3901,11.75,0.10616439978847171
ag26-il,xf-ag26-il-100000,100000.0,0.068428,0.247,0.057095,0.289,1.193,9.5,0.1091225171866737
ag26-il,xf-ag26-il-100000-n5,100000.0,0.068428,0.247,0.057095,0.289,1.2232,10.5,0.10645789529349553
ag26-il,xf-ag26-il-1000000,1000000.0,0.068428,0.247,0.057095,0.289,1.3875,11.25,0.10779206768905346
ag26-il,xf-ag26-il-1000000-n5,1000000.0,0.068428,0.247,0.057095,0.289,1.5158,12.75,0.10779732632383178
ag26-il,xf-ag26-il-200000,200000.0,0.068428,0.247,0.057095,0.289,1.2356,10.25,0.10792378635642519
ag26-il,xf-ag26-il-200000-n5,200000.0,0.068428,0.247,0.057095,0.289,1.2895,11.0,0.10634872554204128
ag26-il,xf-ag26-il-50000,50000.0,0.068428,0.247,0.057095,0.289,1.1306,8.75,0.10883586415200233
ag26-il,xf-ag26-il-50000-n5,50000.0,0.068428,0.247,0.057095,0.289,1.1621,10.0,0.1063851084082496
ag26-il,xf-ag26-il-500000,500000.0,0.068428,0.247,0.057095,0.289,1.3351,11.0,0.10648697899043351
ag26-il,xf-ag26-il-500000-n5,500000.0,0.068428,0.247,0.057095,0.289,1.4108,11.75,0.1065538308860613
ag27-il,xf-ag27-il-100000,100000.0,0.017419,0.008,0.054708,0.318,1.1831,9.25,0.10867270227392917
ag27-il,xf-ag27-il-100000-n5,100000.0,0.017419,0.008,0.054708,0.318,1.2282,10.25,0.10640162876784764
ag27-il,xf-ag27-il-1000000,1000000.0,0.017419,0.008,0.054708,0.318,1.4272,11.5,0.10778168164992065
ag27-il,xf-ag27-il-1000000-n5,1000000.0,0.017419,0.008,0.054708,0.318,1.5388,13.0,0.10767024553030781
ag27-il,xf-ag27-il-200000,200000.0,0.017419,0.008,0.054708,0.318,1.2398,9.75,0.10795650978318351
ag27-il,xf-ag27-il-200000-n5,200000.0,0.017419,0.008,0.054708,0.318,1.3015,11.0,0.10626067263054799
ag27-il,xf-ag27-il-50000,50000.0,0.017419,0.008,0.054708,0.318,1.1221,8.75,0.10817904050063701
ag27-il,xf-ag27-il-50000-n5,50000.0,0.017419,0.008,0.054708,0.318,1.165,9.5,0.10594629296668431
ag27-il,xf-ag27-il-500000,500000.0,0.017419,0.008,0.054708,0.318,1.3413,11.0,0.1081852353252248
ag27-il,xf-ag27-il-500000-n5,500000.0,0.017419,0.008,0.054708,0.318,1.4251,12.0,0.10690438921205711
ag35-il,xf-ag35-il-100000,100000.0,0.062457,0.604,0.087271,0.279,1.235,9.25,0.10295187731359069
ag35-il,xf-ag35-il-100000-n5,100000.0,0.062457,0.604,0.087271,0.279,1.2069,10.0,0.09697026588405193
ag35-il,xf-ag35-il-1000000,1000000.0,0.062457,0.604,0.087271,0.279,1.4513,12.0,0.10601080909571656
ag35-il,xf-ag35-il-1000000-n5,1000000.0,0.062457,0.604,0.087271,0.279,1.542,13.0,0.1066297831835008
ag35-il,xf-ag35-il-200000,200000.0,0.062457,0.604,0.087271,0.279,1.2733,10.25,0.09922034902168164
ag35-il,xf-ag35-il-200000-n5,200000.0,0.062457,0.604,0.087271,0.279,1.2809,10.5,0.09880710746327298
ag35-il,xf-ag35-il-50000,50000.0,0.062457,0.604,0.087271,0.279,1.1678,8.25,0.1046236065573771
ag35-il,xf-ag35-il-50000-n5,50000.0,0.062457,0.604,0.087271,0.279,1.1419,9.5,0.09789364357482816
ag35-il,xf-ag35-il-500000,500000.0,0.062457,0.604,0.087271,0.279,1.3465,11.5,0.10206682178741404
ag35-il,xf-ag35-il-500000-n5,500000.0,0.062457,0.604,0.087271,0.279,1.409,11.75,0.1041061375331276
ag36-il,xf-ag36-il-100000,100000.0,0.019523000000000002,0.895,0.081778,0.266,1.1759,9.0,0.10155682707562134
ag36-il,xf-ag36-il-100000-n5,100000.0,0.019523000000000002,0.895,0.081778,0.266,1.1812,9.75,0.09868228450555264
ag36-il,xf-ag36-il-1000000,1000000.0,0.019523000000000002,0.895,0.081778,0.266,1.4014,11.25,0.10504907453430312
ag36-il,xf-ag36-il-1000000-n5,1000000.0,0.019523000000000002,0.895,0.081778,0.266,1.5057,12.5,0.10645455314648329
ag36-il,xf-ag36-il-200000,200000.0,0.019523000000000002,0.895,0.081778,0.266,1.2218,9.5,0.10101300898995241
